"Logo","Name","Sector","Year Founded","Label Date","Website","Summary","Founders","Email","Phone"
"undefined","TUNISIE MATÉRIEL ROULANT","Business Software and services","2018","05/2019","","TMR PORTAL is a service and operations portal, a digital marketing solution that helps companies to better reference themselves.","Amel BesbesKais Laaribi","n.a.","n.a."
"undefined","UniQ Soft Technology","Business Software and services","2016","05/2019","","UniQ Soft Technology: Design and development of a UniQ financial information system with an Accounting engine capable of solving the most complex reporting and accounting problems in the banking sector.","Bechir Yakhlef","n.a.","n.a."
"undefined","Symmetryk","Business Software and services","2012","04/2019","","Symmetryk: A platform for document exchange between headquarters, subsidiaries and field teams.","Khaled FradRamzi Mrad","n.a.","n.a."
"undefined","EATISY","Business Software and services","2020","11/2020","","Eatisy is a web and mobile solution to place an order in an online food & beverage location while ensuring visibility for the customer on the status of his order.","Walid BaltagiHamed BaltagiChekib ChakrounChedi Chakroun","n.a.","n.a."
"undefined","Farm Trust","Commerce and shopping","2019","09/2019","","Farm Trust is an E-Commerce platform that sells fresh, controlled and traceable products directly from the farm to the end customer.","Anis MezghaniWassim Khiari","n.a.","n.a."
"undefined","D-WEE","HealthTech","2020","12/2020","","D-WEE is a start-up specialized in the development of medical equipment and especially breathing machines.","Mohamed MabroukNemine MarzoukiTaha GrachBassem Mlayah","n.a.","n.a."
"undefined","Rhintos Games","Ad Tech and Creative Tech","2019","12/2019","","Rhintos develops a new video game GODS DON'T FALL. A new take on an old school game with top down camera.","Ayoub Ben ThabetAhmed ChlagouHishem Zarrad","n.a.","n.a."
"undefined","iwassel","Mobility","2019","09/2019","","Iwassel, the Uber of delivery, is a logistics platform that connects e-retailers and consumers for delivery in a relay point.","Yasmine DahloulSarra KhemakhemFiras Rhaiem","n.a.","n.a."
"undefined","Fasteas","Communication services","2020","11/2020","","Fasteas is a community and collaborative application allowing to ask or offer services in real time and in a geo-localized way.","Kais Ben AyedMeriem El May","n.a.","n.a."
"undefined","Smart and Clean","Environment","2018","05/2019","","A tech company that produces electric bicycles. We design, engineer and produce high-end electric bicycles with amazing technology and performance.","Mourad Bouabdallah","n.a.","n.a."
"undefined","MAZED","Commerce and shopping","2019","05/2020","","MAZED is an online sales platform based on auction techniques, specializing in unique and authentic handicrafts.","Bilel MethnaniMohamed Aymen JomaaYassine Zrigue","n.a.","n.a."
"undefined","Services voitures épaves (SVE)","Business Software and services","2020","12/2020","","Services Voitures Epaves allows to digitalize and facilitate transactions between insurance companies, wreckers and car experts in the field of wrecked cars.","Farah M'seddiSlim M'seddiJalel SATOURI","n.a.","n.a."
"undefined","POLYSMART","Ad Tech and Creative Tech","2015","04/2019","","We produce an Esport game of the MOBA type (shooter) Top/down view (third person) for PC platform.","Ahmed CheikhrouhouHaroun Bouchrit","n.a.","n.a."
"undefined","Edutest","EdTech","2019","03/2020","","Edutest is an online platform that helps young people learn English and find opportunities with scholarships abroad","Saeed ZarroukImen Yahyaoui","n.a.","n.a."
"undefined","I POMM","Advanced Manufacturing & Robotics","2019","04/2020","","IPOMM is a SaaS solution for maintenance (CMMS) and facility management based on the import of data from digital models of BIM technology (Building Information Building) while integrating portability and IoT.","Aymen KarouiSaber BellajIyed Benhassen","n.a.","n.a."
"undefined","WareCom","Consumer products and services","2019","01/2020","","WareCom proposes an IoT product for the localization and the traceability of the state of containers during maritime transport.","Hamza SaidNour AbbousAli Saidi","n.a.","n.a."
"undefined","Food4Future","HealthTech","2020","05/2020","","F4F develops connected devices for the production of Fresh Spirulina at home.","Insaf Ayari","n.a.","n.a."
"undefined","Smelsy.com","EdTech","2020","12/2020","","Smelsy is an educational social network that offers a multitude of educational tools for students, parents and teachers to facilitate communication and learning. The platform is accessible via the web or Android and Ios applications.","Med slim Bouaziz","n.a.","n.a."
"undefined","PEAK Technologies SARL","Fintech","2017","05/2019","","PEAK Technologies is specialized in the development of solutions for the management and control of transactional operations based on Blockchain technologies.","Moslem Ben DhaouBilel Methnani","n.a.","n.a."
"undefined","Xtendplex","Business Software and services","2015","03/2020","","Xtendplex is an algorithm capable of facilitating the interaction between the human being and the object in a transparent and intuitive way.","Ahmed Ben HamoudaHassan Cheriha","n.a.","n.a."
"undefined","SQOIN","Fintech","2018","02/2020","","SQOIN is specialized in blockchain, having developed solutions to facilitate e-commerce through the exchange of tokens on the blockchain.","Bacem BergaouiMohamed Ali Belajouza","n.a.","n.a."
"undefined","Klink","Ad Tech and Creative Tech","2020","08/2020","","Klink is an artistic booking platform, which will allow artists and event organizers to get in touch.","Sherazade AmousSendy ZardiHichem ZidiZied Hagui","n.a.","n.a."
"undefined","She Shares","Commerce and shopping","2019","04/2020","","She shares is a company of grouping of purchase and mutualization of transport for the raw materials used by the craftsmen in the rural environment","Kaouther MouelhiHamza Arfaoui","n.a.","n.a."
"undefined","Ticketchainer","Business Software and services","2020","08/2021","","Ticketchainer targets sports clubs and events with a 100% cloud solution that combines ticketing and loyalty via a gamification system integrated into the purchase process.","Sami BoudenWalid KarrayObeyd Melliti","n.a.","n.a."
"undefined","Inspiring Technologies","Advanced Manufacturing & Robotics","2020","12/2021","","InspireTech fait appel aux technologies de l'industrie 4.0 et de la mécatronique pour développer des solutions avancées, standards et personnalisées pour ses clients industriels.","Moez KazdaghliAnis TriguiMohamed MaatougAmine Mahdhi","n.a.","n.a."
"undefined","Tuntales Interactive","Ad Tech and Creative Tech","2020","08/2021","","Tuntales Interactive, with their project Hkeya w Ebra, specialized in the development of video games, offers educational and interactive experiences to children. Their goal is to promote the intangible heritage of Tunisia.","Youssef DridiAtef BoutaraYatim OmarFiras Ben Ghayadha","n.a.","n.a."
"undefined","KICK LIGHT","Wellness","2021","10/2021","","The KICK LIGHT is a tool for evaluating and training reaction time to visual stimuli.","Med Amir Lahmar","n.a.","n.a."
"undefined","WaterSpirit","HealthTech","2018","03/2020","","WaterSpirit: Cultivation of specific microalgae in closed systems to extract biological active ingredients with therapeutic effects on human health such as antioxidants, polyunsaturated fatty acids, ""vegan"" proteins...","Mehdi BhouriOlfa BousselmiChaima Bel HajAmorAmir Ben Hadj Hassine","n.a.","n.a."
"undefined","Dentic","HealthTech","2020","10/2020","","Dentic is a platform that connects Tunisian and foreign dentists with Tunisian dental technicians.","Hakim Yahyaoui","n.a.","n.a."
"undefined","B2B Tunisia","Business Software and services","2021","07/2021","","B2B Tunisia is a platform that allows companies to showcase their products and services as well as other services in order to connect them with other companies.","Mohamed Bechir ChnitiNedra Neffeti","n.a.","n.a."
"undefined","Expensya","Fintech","2014","05/2019","","Expensya offers automation of expense management - worldwide","Karim Jouini","n.a.","n.a."
"undefined","Go To Match","Ad Tech and Creative Tech","2019","07/2021","","GOTOMATCH is a platform specialized in electronic sports, it offers physical and online tournaments of video games.","Youssef BoumahdefWissem AtaKhaled Hamila","n.a.","n.a."
"undefined","Les Ateliers de Yallaa","Ad Tech and Creative Tech","2021","11/2021","","A platform for connecting arts and crafts professionals with people who want to benefit from their know-how through training workshops","Rania WERDA","n.a.","n.a."
"undefined","MSS GROUP","Business Software and services","2020","09/2021","","MSS GROUP specializes in the development of IT solutions, management, control, maintenance and remote installation of cash registers","Michela LUCIFEROOttavio Lucifero","n.a.","n.a."
"undefined","Smart Factory","Advanced Manufacturing & Robotics","2020","09/2021","","Smart Factory Revolution SFR provides solutions to companies to migrate to Industry 4.0 by improving their performance, through a software solution that ensures the connection of machines and operators to the existing ERP system of the company.","Jawhar KOBBIMAALEJ OMAR","n.a.","n.a."
"undefined","anavid","Business Software and services","2019","12/2019","","anavid offers technological solutions based on AI video analysis to increase the economic performance of physical retail.","Ahmed ChaariDavid Nilsson","n.a.","n.a."
"undefined","Viventis","HealthTech","2020","05/2020","","Viventis aims to manufacture essential medical devices by adapting their designs to meet the specific needs of target markets.","Mehdi Bouzouita Hamed BaltagiChema ZoghlamiHela Kamoun","n.a.","n.a."
"undefined","Tadeco It","Mobility","2019","05/2019","","Tadeco It has developed a cloud platform for car fleet management.","Aymen Talbi","aymen.talbi@tadeco-group.tn","+21653944686"
"undefined","ROAMSMART","Business Software and services","2012","04/2019","","Roamsmart helps mobile operators in the digital transformation of their roaming activity through innovative SaaS solutions.","Walid ChamekhMehdi Triki","n.a.","n.a."
"undefined","ADIOM","Agritech","2018","07/2020","","Digital platform for the agricultural sector to generate a new relationship between farmers and professionals in the agricultural field.","Wael Kanzari","n.a.","n.a."
"undefined","Chantier","Business Software and services","2018","01/2020","","Chantier.tn is a service that puts construction professionals in touch with individuals or companies in need of a construction professional.","Moufid BEN HMIDAShady Achouri","n.a.","n.a."
"undefined","Couscous Connection","Commerce and shopping","2019","11/2019","","Couscous-Connection is a platform that brings together all the products of Tunisian designers on a single address","Edriss Kharroubi EssaiedRachid Kharroubi Essaied","n.a.","n.a."
"undefined","Le Comet","HealthTech","2020","09/2020","","Comet© is a technological and scientific solution available to doctors to facilitate their daily work, and contributes to the safety of prescriptions and therefore of patients.","Tarek Mnaffakh","n.a.","n.a."
"undefined","Mass SA","Ad Tech and Creative Tech","2012","05/2019","","Mass is a provider of advanced analytical marketing software solutions, focusing on Marketing Mix Modeling tools.","Ramla JarrarFiras Jabloun","n.a.","n.a."
"undefined","RESRV","FoodTech & New Food","2019","11/2019","","RESRV is a software that allows restaurant owners to manage their reservations and build customer loyalty in a simple way: without commissions or intermediaries","Ahmed TaktakNabil Gazdar","n.a.","n.a."
"undefined","la ferme urbaine","Agritech","2020","07/2020","","The Urban Farm produces vegetables and fruits in hydroponic systems. It is a connected greenhouse with real time measurement of production parameters and activation of water resources.","Skander Kacem","n.a.","n.a."
"undefined","ILEY'COM","Commerce and shopping","2021","08/2021","","ILEY'COM is a social and solidarity marketplace that allows all lovers of Africa, and particularly Tunisia, to discover and buy products Made in Africa designed in an eco-responsible manner.","Mehdi Ben AbdallahMarwa Moula","contact@ileycom.com","0033782655322"
"undefined","Facstore","EdTech","2021","09/2021","","Facstore is a participatory platform for sharing and selling electronic documents as well as selling associated services to universities and students.","Takoua GharbiAya Jallali","n.a.","n.a."
"undefined","Marcus studio","Ad Tech and Creative Tech","2021","08/2021","","Marcus studio plans, designs and produces hyper-casual games and creates visual content for the game and the code to implement all the game's features.","Azzez MoatezHamza Gassab","n.a.","n.a."
"undefined","Ahkili","HealthTech","2019","05/2020","","Ahkili is a listening, coaching and psychological support service. It is a call reception platform that puts the caller directly in touch with a psychologist.","Lamia Chouk Ghaith Souissi","n.a.","n.a."
"undefined","BankeID","Security","2021","07/2021","","BankeID is an electronic identification platform via cell phone based on banking identity.","Karim JebaliWael Kassis","n.a.","n.a."
"undefined","almourabi e-learning","EdTech","2020","06/2021","","Almourabi is a distance learning platform offering online courses to students from 6th grade primary to 4th grade secondary.","Mourad GabsiAya Drissi","n.a.","n.a."
"undefined","Kabylis","TravelTech","2020","07/2021","","Kabylis is an online marketplace for booking guesthouses and experiences of all kinds.","Oussama RomdhaneKhalil Fakhfekh","n.a.","n.a."
"undefined","ALMOURAFEK","Business Software and services","2020","08/2020","","Smart Aid Technologies develops intelligent solutions for decision support for companies and individuals. SA-Tech specifically offers a range of navigation assistance devices that allow people with special needs to interact with their environment and overcome their disabilities.","Imène Khanfir KallelSonda Ammar Bouhamed","n.a.","n.a."
"undefined","SMART LOGGER","Consumer products and services","2017","11/2019","","SMART LOGGER aims to promote connected IOT monitoring solutions mainly for the Agri-Tech, Industry 4.0 and E-Health sectors","Mohamed TaghoutiMehdi Taghouti","n.a.","n.a."
"undefined","FAZA","Ad Tech and Creative Tech","2018","11/2021","","Tunisian media, video broadcast exclusively on social networks, which produces formats perfectly optimized to engage and convert on social media.","Zahra Jenane","n.a.","n.a."
"undefined","Handmade Tunisia","Commerce and shopping","2020","03/2021","","Handmade Tunisia is an online sales marketplace for the benefit of women artisans to ensure their economic inclusion and promote Tunisian know-how","Khaoula Habouria","n.a.","n.a."
"undefined","Autorent","Business Software and services","2021","03/2021","","Autorent is a car rental agency management solution and a marketplace for booking and comparing prices rental cars","Moslem Ben Dhaou","n.a.","n.a."
"undefined","PROTABAR","FoodTech & New Food","2021","11/2021","","A healthy bar with no gluten, no added sugar, no preservatives, no additives and a 9-month shelf life.","Walid Trabelsi","n.a.","n.a."
"undefined","Minima.ai","Business Software and services","2019","12/2019","","Minima.ai An Automatic Machine Learning (AutoMl) platform for SMEs that do not have the means to invest in AI.","Houssem Eddine M'rad","n.a.","n.a."
"undefined","Bepeep Health","HealthTech","2020","03/2021","","Bepeep Health is an e-Payment platform dedicated to the management of health insurance contracts and health care services.","AHMED CHOUCHENIMOHAMED CHOUCHENI","n.a.","n.a."
"undefined","Celebrioo","Ad Tech and Creative Tech","2021","03/2021","","Celebrioo is a web/app platform based on content creation through personalized videos made by celebrities for their fans.","Bilel KnaissiMootaz Billeh Chaabani","n.a.","n.a."
"undefined","My Enlightened Mind","EdTech","2020","05/2021","","My Enlightened Mind specializes in the development, creation and manufacturing of educational and interactive games and toys.","Oussama Ben MahmoudAdem Abidi","n.a.","n.a."
"undefined","Wanavaa","TravelTech","2020","02/2021","","WANAVAA is a community platform for booking activities, adventure and extreme sports in Tunisia","Mohamed Ali HaddadMohamed Amine GharbiSami Essid","n.a.","n.a."
"undefined","Vife","HealthTech","2021","03/2021","","Vife is developing a solution for visually impaired people to help them become more autonomous: a sensor box coupled with headphones and integrating a camera, a GPS and various sensors","Rania FakhfakhEmna SouidMarwa Hannachi","n.a.","n.a."
"undefined","Artify","Ad Tech and Creative Tech","2019","11/2019","","Artify is a video on demand platform specialized in Tunisian cinema.","Yahia Mgarrech","n.a.","n.a."
"undefined","FlowsMaster","Business Software and services","2020","10/2020","","Technagile Innovation Labs offers innovative solutions to serve its customers in their digital transformation, based on the latest technologies. Thanks to RFID and artificial intelligence, they offer a unique customer experience at affordable prices.","Jamel GasriNesrine Ben GuiratWajih AbidiKhaled Ben YounesAhmed Mnasri","n.a.","n.a."
"undefined","Deli Solutions","Commerce and shopping","2019","06/2019","","Monresto is a last mile logistics platform that connects customers with their favorite restaurants through independent delivery agents. It also allows local shops and ecommerce sites to use our network of delivery agents to send their packages to customers.","Sami TounsiZied Ouerdani","n.a.","n.a."
"undefined","UNIK CHIK","Ad Tech and Creative Tech","2018","03/2021","","Unik Chic is a marketplace gas pedal that aims to promote premium/luxury fashion designers and sell their products online","Samia Mbarek","n.a.","n.a."
"undefined","Goupsup","Wellness","2019","12/2019","","The ultimate mobile application that will help you be motivated & productive (Alarm clock & To-do list) while earning money with our 'Gamification' system.","Hazem GuentYassine Dimassi","n.a.","n.a."
"undefined","Shipzzer","Business Software and services","2020","03/2021","","Shipzzer develops a Terminal Operating System (TOS) dedicated to intermodal transport.","Alexandre CourSami Landoulsi","n.a.","n.a."
"undefined","Rayhane","Commerce and shopping","2019","04/2020","","Rayhane is the first online haberdashery in Tunisia that develops the concept of DIY (Do It Yourself) via animated ready-to-use boxes with photos and video tutorials","Nesrine TekitekNidhal Tekitek","n.a.","n.a."
"undefined","Armani Arabic Academy","EdTech","2017","05/2019","","Armani Arabic Academy offers new techniques of learning Arabic language for children using the techniques of play and interactive exercises.","Salwa Armani","n.a.","n.a."
"undefined","CHMISA","Environment","2020","08/2020","","DigiVoltaic Company develops a marketplace that facilitates the purchasing process of renewable energy systems by connecting professionals with qualified prospects.","Bechir Taboubi","n.a.","n.a."
"undefined","Ijeni","Commerce and shopping","2020","11/2021","","Ijeni is a Web & Mobile marketplace for direct on-demand connections with freelance workers.","Safi Eddine Negra","n.a.","n.a."
"undefined","Pepolls","Communication services","2020","11/2020","","Pepolls is a poll based social network that uses technology in favor of society to proactively connect all its parties in an autonomous, decentelized, self-sovereign space.","Jihen RahmouniJihed Rahmouni","n.a.","n.a."
"undefined","Think-it","Business Software and services","2017","05/2020","","Our collective develops AI and Cloud solutions to help innovation leaders achieve high quality results at lower costs.","Mehemed BougseaJosha Raue","n.a.","n.a."
"undefined","LORE AND HEART","Commerce and shopping","2018","05/2020","","We promote Tunisian artisans and designers abroad under the brand Lore and Heart, specializing in interior design, fashion and lifestyle.","Salma Ben HamidaCyrine Ben Hamida","n.a.","n.a."
"undefined","COGNITION","HealthTech","2020","12/2021","","Une plateforme dédiée à la détection précoce de différents cancers et maladies invasives alignant plusieurs CADs (Computer Aided Detection) à la fois.","Sarah Ben SlimeneKirmene Marzouki","n.a.","n.a."
"undefined","DIGITIN","Advanced Manufacturing & Robotics","2021","10/2021","","DIGITIN "" Digitalization & Innovation "" ensures the implementation of an AGV (Automated Guided Vehicle) system for the transportation of loads within factories and warehouses.","Aymen Bergaoui","n.a.","n.a."
"undefined","Smart Farm","Agritech","2018","09/2019","","Smart Soft PRO is an engineering company specializing in the development of customized technological solutions specifically for the agricultural sector based on IoT. Software, Hardware, Robotics and Drone.","Bechir Ben BrikaHamza Khechine","n.a.","n.a."
"undefined","VIRGIN","Environment","2021","05/2021","","BOS Blaster Ozone solutions designs, manufactures and markets ozone purifiers that disinfect air and surfaces (eliminating all types of micro-organisms). The purifier is autonomous (by battery) and rotates at 360°.","Ahmed Aziz ChakerMourad Chaker","n.a.","n.a."
"undefined","Investhune plus","Fintech","2021","10/2021","","Platform allowing its customers to have accounts and make donations with each online payment, direct debit or salary transfer.","Wael HassenAla Eddine HassenMalek ChaabaneMohamed Amine Berguiga","n.a.","n.a."
"undefined","Vizmerald","Advanced Manufacturing & Robotics","2021","10/2021","","a helmet to filter the air breathed, which has an on-board circuit and can be presented as a breathing mask to be worn first by health care personnel and then by anyone working in an environment where the air is likely to be contaminated or polluted.","Bassem Seddik","n.a.","n.a."
"undefined","Optimalogistic","Mobility","2019","02/2020","","Optimalogistic is a startup in the field of digital and AI whose goal is to optimize the costs of land transportation of goods through the detection of empty spaces in trucks. We connect B2Bs with transport companies to fill empty trucks.","Maher ChakrounOmar Boukedi","n.a.","n.a."
"undefined","bqube","Business Software and services","2017","05/2022","","BQube ITs , start-up specializing in Industry4.0. It offers the QMES solution in SAAS mode (Software as a Service) usable within or outside the structure (accessible from anywhere), which allows 24-hour management and control of the progress of activities. In order to allow industrial companies to control all the details of the production process that have a negative impact on the efficiency and quality of their operations QMES 4.0 has been designed to: - Have a better management of the flow of the factory - improve performance, quality and availability losses - Monitor the plant in real time. -Analyze performance and problem identification.","Mohamed Abed BechiriMohamed SaidiSamia Saaidia","b.contact@bqubeits.com","70146565"
"undefined","Revampr","Business Software and services","2022","06/2022","","Revampr is a start-up on Artificial Intelligence-based solutions for Arabic font transcription. We use Cutting-edge technology for developing specialized Computer Vision and Optical Character Recognition products.","Firas Ben AbidMarwen SallemAdnen SaadaouiAdnen Somai","contact@revampr.com","+21620373270"
"undefined","SHYK","Commerce and shopping","2021","02/2022","","SHYK is a marketplace that facilitates the booking of wellness stays while helping professionals in the sector to develop their activities.","Mohamed Nathan FENINA","n.a.","n.a."
"undefined","Addresti","Mobility","2020","09/2020","","An addressing system on mobile application to improve the home delivery service and access to the exact address.","Ahmed Yassine AllegueNour El Houda BenzartiMohamed Ali TorjmenMohamed Salem Bchir","n.a.","n.a."
"undefined","GST","Mobility","2014","09/2020","","TMR is a mobile, B2B, sales force automation solution that enables real-time management of field sales, distribution and management systems.","Nesria Lehiani","n.a.","n.a."
"undefined","NACHD-IT","Business Software and services","2017","09/2019","","Plugin (NACHD-UMS: NACHD University Management System) which is used to quickly set up university platforms with automatic synchronization of services with ERP systems","Ahmed Ben HssounaNourhane Amara","n.a.","n.a."
"undefined","elprojet","EdTech","2021","05/2021","","The project produces complete electronic kits, targeting students of all levels, made mostly of cardboard. Designed in a way that facilitates the construction of the student's own technical project","Akram Mrad","n.a.","n.a."
"undefined","JoodLab","Fintech","2021","12/2021","","Jood Lab Offre deux solutions qui associe les bureaux de change et leurs clients:  - La première est une solution pour les bureaux de change (Xchange Office), elle leur permet la gestion de leur bureau aussi que la partie marketing.  - La deuxième est une solution pour les clients (Xchange Advisor) qui leur permet de trouver le meilleur taux de change à une proximité satisfaisante.","Mohamed Belghith Younes Mabrouk","n.a.","n.a."
"undefined","Societe Tunisian Online Teachers","EdTech","2018","02/2020","","Tunisian Online Teachers is the first educational platform in Tunisia that connects students and professionals to their teachers to give them customized courses directly online through the site's webcam and online payment","Rania KhelilMalek Gargouri","n.a.","n.a."
"undefined","BaBa Ali","Commerce and shopping","2021","11/2021","","BaBa Ali is a multi-category online destocking platform; specializing in buying and selling overstock and unsold goods.","Hichem Chelbi","n.a.","n.a."
"undefined","EdTrust","EdTech","2021","10/2021","","EdTrust offers a tool for distance learning with a combined solution for remote communication, agenda management, and document archiving and sharing.","Firas DhaouadiAhmed MaalejAhmed Snoussi","contact@edtrust.tn","52588822"
"undefined","Takwinland","EdTech","2017","05/2021","","Takwinland.com is a digital platform that brings together the players in the training ecosystem and digitizes the process at each of them","Brahim jaouadMohamed AmroussiOumar Rejeb","n.a.","n.a."
"undefined","Cagnotte Fid","Ad Tech and Creative Tech","2020","12/2020","","Cagnotte Fid is an intermediary mobile application between merchants and their customers, it allows to accomplish the procedures and manage the operations related to the loyalty program.","Omar BaccarHager Bouchoucha","n.a.","n.a."
"undefined","Ernest","Business Software and services","2020","05/2020","","Edition of intelligent solutions around compliance and social management of companies.","Fayçal Derouiche","n.a.","n.a."
"undefined","Luceor Labs","Communication services","2021","12/2021","","Réseaux sans fil résilients et sécurisés pour les applications outdoor mobiles grâce aux nouvelles solutions Xtramesh.","Mohamed Tlich","n.a.","n.a."
"undefined","wammya","Mobility","2020","10/2020","","Wammya is an integrated solution for networking and digitalization for the transport sector. Business management tools are made available to service providers while integrating AI, IOT and blockchain into the solution.","Faycel AouinaIteb MasmoudiAhmed Lachheb LahlaouiWalid Negra","n.a.","n.a."
"undefined","TakiAcademy","EdTech","2015","06/2019","","We teach all subjects for students from 5th grade to high school.","TakiEddine Ben Messaoud","n.a.","n.a."
"undefined","WaterSec","Environment","2021","08/2021","","WaterSec offers an intelligent system for monitoring water consumption via a web and mobile application connected to IoT sensors.","Ahmed Slim BouakezKhoubeib TliliZoubeir ZarroukMohamed Guenbri","n.a.","n.a."
"undefined","YASSIR","Mobility","2018","06/2020","","YASSIR is a set of innovative mobile solutions for individuals and companies with transportation, delivery and home services.","Haythem CherifNoureddine Tayebi","n.a.","n.a."
"undefined","DRYSEK","Agritech","2021","07/2021","","DRYSEK is specialized in the manufacture and marketing of innovative and intelligent solar dryers as an alternative to traditional drying methods.","Amjed TeraaElyes Said","n.a.","n.a."
"undefined","Maginater","Communication services","2022","08/2022","","Maginater is a one-stop shop for extended reality experiences. It provides those looking to create immersive experiences with an XR studio that allows them to design and animate their XR content and share it in our community without needing a computer background or a team of developers.  In the age of extended reality, Maginater opens the door for those with bright ideas and no computer development background to easily create a professional & high-quality XR experience with an easy-to-use XR studio that offers huge features like uploading, designing and animating 3D models, adding advanced options like hand tracking and interactions, and finally choosing the output format like augmented reality, virtual reality or mixed reality.  All creators will be able to share their content with their customers or niches, for free or for a fee, on our community gallery, which will be the hub of XR experiences.","Madani Moutaabilel bilelbasly","n.a.","n.a."
"undefined","TrustiT","Commerce and shopping","2019","09/2019","","Trustit is a web platform for connecting users in need of innovative cell phone repair services with trusted professionals.","Mohamed Amine Ouni","n.a.","n.a."
"undefined","AbrarCom Analytics","Business Software and services","2017","02/2020","","AbrarCom Analytics is a Business Intelligence based reporting tool designed to deliver accurate activity reports in a predetermined format.","Houssem NouriSlim Ben SalahAmira Ben FaizaHaythem Farhati","n.a.","n.a."
"undefined","FelCloud","Business Software and services","2019","03/2021","","FelCloud is a Cloud Computing platform that allows companies to dynamically allocate computing resources (VM, Storage, Loadbalancer, Router....) with billing per second.","Mohamed Amine IBRAHIM","n.a.","n.a."
"undefined","IDEAL CONCEPTION","HealthTech","2016","09/2019","","IDEAL CONCEPTION is a young Tunisian company that specializes in the development of specific applications and websites with new and innovative products in the field of Medical Biology such as WEBOLABO and BOXYLAB","Mehdi Zaabar","n.a.","n.a."
"undefined","Evey Technologies","Ad Tech and Creative Tech","2016","09/2019","","Evey is a platform that helps individuals, intermediary organizations, civil society, municipalities, event agencies to organize their events and engage their audiences in real time, simply and efficiently. From badging to reporting in ""one stop shop","Noomane LahimerMaher Hanafi","n.a.","n.a."
"undefined","ASEPTIKA LAB","HealthTech","2016","08/2019","","This is a certified dermo-cosmetic laboratory that wants to digitalize natural cosmetics through online skin diagnosis.","Selima ZaoualiAziz Zaouali","n.a.","n.a."
"undefined","Ground Transportation Business Management Suite","Mobility","2020","11/2021","","Reservation and ticketing management system that allows ground transportation operators to manage and direct sales and operations.","Kamel AlouaniJacer Omri","n.a.","n.a."
